player_id,player_name,team,nationality,position,sources
47044,Adrian Jhonny Jusino Cerruto,Bolivia,Bolivia,,"[""statsbomb_open_data""]"
3731,Adrian Mariappa,Crystal Palace,Jamaica,Right Center Back,"[""statsbomb_open_data""]"
18105,Adrian Mutu,Chelsea,Romania,Left Center Forward,"[""statsbomb_open_data""]"
39976,Adrian Webster,Seattle Sounders,New Zealand,Center Attacking Midfield,"[""statsbomb_open_data""]"
404312,Adrian Zeljković,Slovenia,Slovenia,,"[""statsbomb_open_data""]"
136945,Adriana Achcińska,Poland Women's,Poland,Right Center Midfield,"[""statsbomb_open_data""]"
8297,Adriana Kristina Leon,West Ham United LFC,Canada,Left Wing,"[""statsbomb_open_data""]"
389489,Adriana Leal da Silva,Brazil Women's,Brazil,Left Midfield,"[""statsbomb_open_data""]"
25768,Adriana María Sachs,Argentina Women's,Argentina,Right Back,"[""statsbomb_open_data""]"
50371,Adriana Nanclares Romero,Spain Women's,Spain,Goalkeeper,"[""statsbomb_open_data""]"
6819,Adrianna Nichole Franch,United States Women's,United States of America,Goalkeeper,"[""statsbomb_open_data""]"
22102,Adriano Correia Claro,Barcelona,Brazil,Left Back,"[""statsbomb_open_data""]"
26251,Adriano Ferreira Martins,Málaga,Brazil,Right Wing,"[""statsbomb_open_data""]"
386509,Adriano Russo,Frosinone,Italy,Right Center Back,"[""statsbomb_open_data""]"
3429,Adrien Hunou,Rennes,France,Right Center Forward,"[""statsbomb_open_data""]"
3026,Adrien Rabiot,France,France,Left Center Midfield,"[""statsbomb_open_data""]"
16418,Adrien Regattin,Toulouse,Morocco,Left Attacking Midfield,"[""statsbomb_open_data""]"
3707,Adrien Sebastian Perruchet Silva,Portugal,Portugal,Right Center Midfield,"[""statsbomb_open_data""]"
3375,Adrien Thomasson,Strasbourg,France,Right Center Midfield,"[""statsbomb_open_data""]"
45026,Adrien Truffert,Rennes,France,Left Wing,"[""statsbomb_open_data""]"
31567,Adrienne Jordan,Birmingham City WFC,United States of America,Left Back,"[""statsbomb_open_data""]"
22287,Adrià Giner Pedrosa,Espanyol,Spain,Left Wing Back,"[""statsbomb_open_data""]"
28657,Adrián Andrés Cubas,Paraguay,Paraguay,Center Defensive Midfield,"[""statsbomb_open_data""]"
26652,Adrián Colunga Pérez,Getafe,Spain,Left Midfield,"[""statsbomb_open_data""]"
7062,Adrián Diéguez Grande,Deportivo Alavés,Spain,,"[""statsbomb_open_data""]"
11539,Adrián Embarba Blázquez,Rayo Vallecano,Spain,Left Midfield,"[""statsbomb_open_data""]"
6557,Adrián González Morales,Eibar,Spain,Left Midfield,"[""statsbomb_open_data""]"
27237,Adrián Javier Gunino Duque,Córdoba CF,Uruguay,Right Back,"[""statsbomb_open_data""]"
26218,Adrián López Rodríguez,RC Deportivo La Coruña,Spain,Right Center Back,"[""statsbomb_open_data""]"
6735,Adrián López Álvarez,Atlético Madrid,Spain,Right Center Forward,"[""statsbomb_open_data""]"
6935,Adrián Marín Gómez,Deportivo Alavés,Spain,Center Defensive Midfield,"[""statsbomb_open_data""]"
26304,Adrián Nicolás Luna Retamar,Kerala Blasters,Uruguay,Left Midfield,"[""statsbomb_open_data""]"
30594,Adrián Ortolá Vañó,Deportivo Alavés,Spain,,"[""statsbomb_open_data""]"
34602,Adrián Rus,Romania,Romania,Right Defensive Midfield,"[""statsbomb_open_data""]"
3623,Adrián San Miguel del Castillo,West Ham United,Spain,Goalkeeper,"[""statsbomb_open_data""]"
20001,Adrián Sardinero Corpa,Getafe,Spain,Center Forward,"[""statsbomb_open_data""]"
31687,Adryan Oliveira Tavares,Nantes,Brazil,Left Wing,"[""statsbomb_open_data""]"
7474,Afriyie Acquah,Torino,Ghana,Right Center Midfield,"[""statsbomb_open_data""]"
6845,Ager Aketxe Barrutia,Athletic Club,Spain,Center Attacking Midfield,"[""statsbomb_open_data""]"
10134,Agla María Albertsdóttir,Iceland Women's,Iceland,Left Wing,"[""statsbomb_open_data""]"
397788,Agne Simonsson,Sweden,Sweden,Center Forward,"[""statsbomb_open_data""]"
81580,Agnes Beever-Jones,Chelsea FCW,England,Left Wing,"[""statsbomb_open_data""]"
45883,Agnese Bonfantini,Italy Women's,Italy,Right Wing,"[""statsbomb_open_data""]"
131623,Agness Musase,Zambia Women's,Zambia,Right Center Back,"[""statsbomb_open_data""]"
31399,Agostino Camigliano,Udinese,Italy,,"[""statsbomb_open_data""]"
39559,Aguibou Camara,Guinea,Guinea,Center Attacking Midfield,"[""statsbomb_open_data""]"
25629,Agustina Barroso Basualdo,Argentina Women's,Argentina,Right Center Back,"[""statsbomb_open_data""]"
15603,Agustín Aranzábal Alkorta,Real Zaragoza,Spain,Center Attacking Midfield,"[""statsbomb_open_data""]"
36666,Agustín Canobbio Graviz,Uruguay,Uruguay,Left Midfield,"[""statsbomb_open_data""]"
24631,Agustín García Iñiguez,Albacete,Spain,Left Center Back,"[""statsbomb_open_data""]"
124167,Ahmad Nourollahi,Iran,"Iran, Islamic Republic of",Right Defensive Midfield,"[""statsbomb_open_data""]"
124490,Ahmed Alaa Eldin Abdelmotaal,Qatar,Qatar,Right Center Midfield,"[""statsbomb_open_data""]"
6959,Ahmed Benali,Palermo,Libya,,"[""statsbomb_open_data""]"
9631,Ahmed Eissa El Mohamady Abdel Fattah,Egypt,Egypt,,"[""statsbomb_open_data""]"
4063,Ahmed Elsayed Ali Elsayed Hegazy,Egypt,Egypt,Right Center Back,"[""statsbomb_open_data""]"
5250,Ahmed Fathy Abdel Meneim Ibrahim,Egypt,Egypt,Right Back,"[""statsbomb_open_data""]"
15311,Ahmed Hassan Mahgoub,Egypt,Egypt,Left Center Midfield,"[""statsbomb_open_data""]"
159771,Ahmed Jahouh,Mumbai City,Morocco,Left Defensive Midfield,"[""statsbomb_open_data""]"
6348,Ahmed Khalil,Tunisia,Tunisia,Left Midfield,"[""statsbomb_open_data""]"
67737,Ahmed Mohamed Abo El Fotouh Mohamed,Egypt,Egypt,Left Back,"[""statsbomb_open_data""]"
5473,Ahmed Musa,Nigeria,Nigeria,Left Defensive Midfield,"[""statsbomb_open_data""]"
81256,Ahmed Nasser Abdel Razek El Shenawy,Egypt,Egypt,,"[""statsbomb_open_data""]"
139011,Ahmed Reda Tagnaouti,Morocco,Morocco,,"[""statsbomb_open_data""]"
66878,Ahmed Sayed,Egypt,Egypt,Right Wing,"[""statsbomb_open_data""]"
47526,Ahmed Touba,Algeria,Algeria,,"[""statsbomb_open_data""]"
48718,Ahmet Metin Arslan,Hamburger SV,Germany,Left Wing,"[""statsbomb_open_data""]"
47383,Ahmetcan Kaplan,Turkey,Turkey,,"[""statsbomb_open_data""]"
159780,Aibanbha Kupar Dohling,Goa,India,Left Center Back,"[""statsbomb_open_data""]"
11349,Aiden McGeady,Everton,Ireland,,"[""statsbomb_open_data""]"
22452,Aihen Muñoz Capellán,Real Sociedad,Spain,Left Back,"[""statsbomb_open_data""]"
16374,Aileen Whelan,Brighton & Hove Albion WFC,England,Center Attacking Midfield,"[""statsbomb_open_data""]"
40115,Aimar Oroz,Osasuna,Spain,,"[""statsbomb_open_data""]"
36801,Aimee Palmer,Manchester United,England,Right Center Midfield,"[""statsbomb_open_data""]"
106457,Aimee Watson,Bristol City WFC,Wales,,"[""statsbomb_open_data""]"
43074,Aimen Moueffek,Saint-Étienne,France,Left Defensive Midfield,"[""statsbomb_open_data""]"
143564,Aimé Mabika,Toronto FC,Zambia,,"[""statsbomb_open_data""]"
401633,"Aine O""Gorman",Republic of Ireland Women's,Ireland,Right Wing Back,"[""statsbomb_open_data""]"
25679,Ainon Phancha,Thailand Women's,Thailand,Left Center Midfield,"[""statsbomb_open_data""]"
13607,Airam López Cabrera,Goa,Spain,Center Attacking Midfield,"[""statsbomb_open_data""]"
103262,Aishi Manula,Tanzania,"Tanzania, United Republic of",Goalkeeper,"[""statsbomb_open_data""]"
15284,Aitana Bonmati Conca,Spain Women's,Spain,Left Center Midfield,"[""statsbomb_open_data""]"
27563,Aitor Buñuel Redrado,Osasuna,Spain,Right Back,"[""statsbomb_open_data""]"
105940,Aitor Embela Gil,Equatorial Guinea,Equatorial Guinea,,"[""statsbomb_open_data""]"
23344,Aitor Fernández Abarisketa,Levante UD,Spain,Goalkeeper,"[""statsbomb_open_data""]"
26431,Aitor López Rekarte,Almería,Spain,Right Center Midfield,"[""statsbomb_open_data""]"
26847,Aitor Núñez Martín,Rayo Vallecano,Spain,Right Back,"[""statsbomb_open_data""]"
25950,Aitor Ocio Carrión,Sevilla,Spain,Right Center Back,"[""statsbomb_open_data""]"
26500,Aitor Ramos Leniz,Athletic Club,Spain,Center Forward,"[""statsbomb_open_data""]"
6851,Aitor Ruibal García,Leganés,Spain,Right Wing Back,"[""statsbomb_open_data""]"
26078,Aitor Tornavaca Fernández,Recreativo Huelva,Spain,Left Midfield,"[""statsbomb_open_data""]"
25850,Aivi Belinda Kerstin Luik,Australia Women's,Australia,Right Center Midfield,"[""statsbomb_open_data""]"
25628,Ajara Nchout,Cameroon Women's,Cameroon,Right Center Midfield,"[""statsbomb_open_data""]"
166561,Ajay Chhetri,Bengaluru,India,Center Defensive Midfield,"[""statsbomb_open_data""]"
8859,Ajdin Hrustic,Australia,Australia,Left Wing,"[""statsbomb_open_data""]"
162204,Ajith Kumar,Bengaluru,India,Right Back,"[""statsbomb_open_data""]"
124903,Akash Mishra,Hyderabad,India,Left Back,"[""statsbomb_open_data""]"
26735,Akihiro Ienaga,Mallorca,Japan,Left Wing,"[""statsbomb_open_data""]"
30234,Akim Zedadka,Clermont Foot,Algeria,Right Back,"[""statsbomb_open_data""]"
40784,Akram Hassan Afif,Qatar,Qatar,Left Center Forward,"[""statsbomb_open_data""]"
185889,Akshunna Tyagi,Odisha,India,Center Forward,"[""statsbomb_open_data""]"
160952,Alaa Ghram,Tunisia,Tunisia,,"[""statsbomb_open_data""]"
391243,Alaba Jonathan,Nigeria Women's,Nigeria,,"[""statsbomb_open_data""]"
7444,Alaeddine Yahia,Caen,Tunisia,Right Center Back,"[""statsbomb_open_data""]"
103211,Alagie Modou Jobe,Gambia,Gambia,,"[""statsbomb_open_data""]"
26682,Alain Didier Zokora-Déguy,Sevilla,Côte d'Ivoire,Left Defensive Midfield,"[""statsbomb_open_data""]"
40422,Alain Goma,Fulham,France,Left Center Back,"[""statsbomb_open_data""]"
16604,Alain Nef,Recreativo Huelva,Switzerland,Right Back,"[""statsbomb_open_data""]"
5180,Alan Dzagoev,Russia,Russia,Center Attacking Midfield,"[""statsbomb_open_data""]"
27116,Alan Henrique Costa,Bengaluru,Brazil,Left Center Back,"[""statsbomb_open_data""]"
9642,Alan Hutton,Aston Villa,Scotland,Right Back,"[""statsbomb_open_data""]"
397887,Alan James Ball,England,England,Right Center Midfield,"[""statsbomb_open_data""]"
397886,Alan Patrick Mullery,England,England,Center Defensive Midfield,"[""statsbomb_open_data""]"
40231,Alan Shearer,Newcastle United,England,Left Center Forward,"[""statsbomb_open_data""]"
40267,Alan Smith,Leeds United,England,Right Center Forward,"[""statsbomb_open_data""]"
123625,Alan Steve Minda García,Ecuador,Ecuador,Right Wing,"[""statsbomb_open_data""]"
37945,Alan Steven Franco Palma,Ecuador,Ecuador,Right Center Midfield,"[""statsbomb_open_data""]"
40285,Alan Stubbs,Everton,England,Right Center Back,"[""statsbomb_open_data""]"
48425,Alan Virginius,Lille,France,Right Wing,"[""statsbomb_open_data""]"
40404,Alan Wright,Middlesbrough,England,Left Midfield,"[""statsbomb_open_data""]"
24694,Alana Cook,United States Women's,United States of America,,"[""statsbomb_open_data""]"
5078,Alanna Stephanie Kennedy,Australia Women's,Australia,Left Center Back,"[""statsbomb_open_data""]"
28212,Alasana Manneh,Gambia,Gambia,Right Center Midfield,"[""statsbomb_open_data""]"
3230,Alassane Pléa,OGC Nice,France,Left Center Forward,"[""statsbomb_open_data""]"
90746,Alassane Touré,Gazélec Ajaccio,France,Right Back,"[""statsbomb_open_data""]"
338836,Alayah Pilgrim,Switzerland Women's,Switzerland,Right Center Midfield,"[""statsbomb_open_data""]"
50151,Alba María Redondo Ferrer,Spain Women's,Spain,Center Forward,"[""statsbomb_open_data""]"
2981,Alban Lafont,Nantes,France,Goalkeeper,"[""statsbomb_open_data""]"
7803,Albano Benjamín Bizzarri,Chievo,Argentina,Goalkeeper,"[""statsbomb_open_data""]"
25909,Albert Celades López,Real Zaragoza,Spain,Right Center Midfield,"[""statsbomb_open_data""]"
26437,Albert Crusat Domene,Almería,Spain,Left Wing,"[""statsbomb_open_data""]"
6306,Albert Gudmundsson,Iceland,Iceland,Right Center Forward,"[""statsbomb_open_data""]"
40827,Albert Jorquera i Fortiá,Barcelona,Spain,,"[""statsbomb_open_data""]"
20518,Albert Luque Martos,Málaga,Spain,Right Wing,"[""statsbomb_open_data""]"
