source,match_id,competition,season,minute,second,timestamp,team,opponent,player_id,player_name,nationality,position,event_type,outcome,xg,is_key_pass,progressive_pass,dribble_success,shot_on_target,goal,score_difference
statsbomb_open_data,SB-1006,La Liga,2023-24,78,47,01:18:47,Real Madrid,Atletico Madrid,P005,Jude Bellingham,England,CM,dribble,success,0,0,0,1,0,0,1
statsbomb_open_data,SB-1006,La Liga,2023-24,85,15,01:25:15,Real Madrid,Atletico Madrid,P005,Jude Bellingham,England,CM,pass,success,0,1,1,0,0,0,1
statsbomb_open_data,SB-1005,La Liga,2023-24,18,9,00:18:09,Real Madrid,Barcelona,P006,Vinicius Junior,Brazil,LW,dribble,success,0,0,0,1,0,0,0
statsbomb_open_data,SB-1005,La Liga,2023-24,43,27,00:43:27,Real Madrid,Barcelona,P006,Vinicius Junior,Brazil,LW,shot,success,0.21,0,0,0,1,0,0
statsbomb_open_data,SB-1006,La Liga,2023-24,70,41,01:10:41,Real Madrid,Atletico Madrid,P006,Vinicius Junior,Brazil,LW,pass,success,0,1,1,0,0,0,1
statsbomb_open_data,SB-1006,La Liga,2023-24,84,22,01:24:22,Real Madrid,Atletico Madrid,P006,Vinicius Junior,Brazil,LW,dribble,success,0,0,0,1,0,0,1
statsbomb_open_data,SB-1001,Premier League,2023-24,21,6,00:21:06,Manchester City,Liverpool,P007,Rodri,Spain,CDM,pass,success,0,1,1,0,0,0,0
statsbomb_open_data,SB-1001,Premier League,2023-24,47,33,00:47:33,Manchester City,Liverpool,P007,Rodri,Spain,CDM,interception,success,0,0,0,0,0,0,0
statsbomb_open_data,SB-1002,Premier League,2023-24,68,48,01:08:48,Manchester City,Arsenal,P007,Rodri,Spain,CDM,tackle,success,0,0,0,0,0,0,1
statsbomb_open_data,SB-1002,Premier League,2023-24,89,12,01:29:12,Manchester City,Arsenal,P007,Rodri,Spain,CDM,pass,success,0,0,1,0,0,0,1
statsbomb_open_data,SB-1001,Premier League,2023-24,16,57,00:16:57,Liverpool,Manchester City,P008,Mohamed Salah,Egypt,RW,dribble,success,0,0,0,1,0,0,0
statsbomb_open_data,SB-1001,Premier League,2023-24,38,26,00:38:26,Liverpool,Manchester City,P008,Mohamed Salah,Egypt,RW,shot,success,0.19,0,0,0,1,0,0
statsbomb_open_data,SB-1003,Premier League,2023-24,63,29,01:03:29,Liverpool,Chelsea,P008,Mohamed Salah,Egypt,RW,pass,success,0,1,1,0,0,0,1
statsbomb_open_data,SB-1003,Premier League,2023-24,86,18,01:26:18,Liverpool,Chelsea,P008,Mohamed Salah,Egypt,RW,shot,fail,0.12,0,0,0,0,0,1
statsbomb_open_data,SB-1002,Premier League,2023-24,17,40,00:17:40,Arsenal,Manchester City,P009,Martin Odegaard,Norway,CAM,pass,success,0,1,1,0,0,0,0
statsbomb_open_data,SB-1002,Premier League,2023-24,54,11,00:54:11,Arsenal,Manchester City,P009,Martin Odegaard,Norway,CAM,shot,success,0.11,0,0,0,1,0,0
statsbomb_open_data,SB-1004,Premier League,2023-24,66,7,01:06:07,Arsenal,Tottenham,P009,Martin Odegaard,Norway,CAM,pass,success,0,1,1,0,0,0,1
statsbomb_open_data,SB-1004,Premier League,2023-24,81,45,01:21:45,Arsenal,Tottenham,P009,Martin Odegaard,Norway,CAM,interception,success,0,0,0,0,0,0,1
statsbomb_open_data,SB-1007,La Liga,2023-24,12,8,00:12:08,Barcelona,Girona,P010,Robert Lewandowski,Poland,ST,shot,success,0.24,0,0,0,1,1,0
statsbomb_open_data,SB-1007,La Liga,2023-24,29,36,00:29:36,Barcelona,Girona,P010,Robert Lewandowski,Poland,ST,pass,success,0,0,1,0,0,0,1
statsbomb_open_data,SB-1007,La Liga,2023-24,74,14,01:14:14,Barcelona,Girona,P010,Robert Lewandowski,Poland,ST,shot,fail,0.17,0,0,0,0,0,1
statsbomb_open_data,SB-1007,La Liga,2023-24,15,21,00:15:21,Girona,Barcelona,P011,Savio,Brazil,RW,dribble,success,0,0,0,1,0,0,0
statsbomb_open_data,SB-1007,La Liga,2023-24,41,52,00:41:52,Girona,Barcelona,P011,Savio,Brazil,RW,pass,success,0,1,1,0,0,0,0
statsbomb_open_data,SB-1007,La Liga,2023-24,78,8,01:18:08,Girona,Barcelona,P011,Savio,Brazil,RW,shot,success,0.13,0,0,0,1,0,0
statsbomb_open_data,SB-1008,MLS,2024-25,14,33,00:14:33,Inter Miami,Orlando City,P012,Lionel Messi,Argentina,RW,dribble,success,0,0,0,1,0,0,0
statsbomb_open_data,SB-1008,MLS,2024-25,33,4,00:33:04,Inter Miami,Orlando City,P012,Lionel Messi,Argentina,RW,pass,success,0,1,1,0,0,0,0
statsbomb_open_data,SB-1008,MLS,2024-25,74,28,01:14:28,Inter Miami,Orlando City,P012,Lionel Messi,Argentina,RW,shot,success,0.26,0,0,0,1,1,1
statsbomb_open_data,SB-1008,MLS,2024-25,19,12,00:19:12,Inter Miami,Orlando City,P013,Luis Suarez,Uruguay,ST,shot,success,0.22,0,0,0,1,0,0
statsbomb_open_data,SB-1008,MLS,2024-25,52,46,00:52:46,Inter Miami,Orlando City,P013,Luis Suarez,Uruguay,ST,pass,success,0,0,1,0,0,0,1
statsbomb_open_data,SB-1008,MLS,2024-25,83,37,01:23:37,Inter Miami,Orlando City,P013,Luis Suarez,Uruguay,ST,shot,fail,0.14,0,0,0,0,0,1
statsbomb_open_data,SB-1009,Saudi Pro League,2024-25,12,41,00:12:41,Al Nassr,Al Hilal,P014,Cristiano Ronaldo,Portugal,ST,shot,success,0.28,0,0,0,1,1,0
statsbomb_open_data,SB-1009,Saudi Pro League,2024-25,39,22,00:39:22,Al Nassr,Al Hilal,P014,Cristiano Ronaldo,Portugal,ST,pass,success,0,0,1,0,0,0,0
statsbomb_open_data,SB-1009,Saudi Pro League,2024-25,81,13,01:21:13,Al Nassr,Al Hilal,P014,Cristiano Ronaldo,Portugal,ST,shot,fail,0.16,0,0,0,0,0,-1
statsbomb_open_data,SB-1009,Saudi Pro League,2024-25,25,7,00:25:07,Al Hilal,Al Nassr,P015,Aleksandar Mitrovic,Serbia,ST,shot,success,0.19,0,0,0,1,0,0
statsbomb_open_data,SB-1009,Saudi Pro League,2024-25,56,55,00:56:55,Al Hilal,Al Nassr,P015,Aleksandar Mitrovic,Serbia,ST,pass,success,0,0,1,0,0,0,1
statsbomb_open_data,SB-1009,Saudi Pro League,2024-25,84,48,01:24:48,Al Hilal,Al Nassr,P015,Aleksandar Mitrovic,Serbia,ST,shot,success,0.18,0,0,0,1,1,1
statsbomb_open_data,SB-1010,La Liga,2024-25,17,24,00:17:24,Real Madrid,Sevilla,P016,Rodrygo,Brazil,RW,dribble,success,0,0,0,1,0,0,0
statsbomb_open_data,SB-1010,La Liga,2024-25,44,10,00:44:10,Real Madrid,Sevilla,P016,Rodrygo,Brazil,RW,shot,success,0.17,0,0,0,1,0,0
statsbomb_open_data,SB-1010,La Liga,2024-25,79,29,01:19:29,Real Madrid,Sevilla,P016,Rodrygo,Brazil,RW,pass,success,0,1,1,0,0,0,1
statsbomb_open_data,SB-1010,La Liga,2024-25,11,43,00:11:43,Sevilla,Real Madrid,P017,Youssef En-Nesyri,Morocco,ST,shot,success,0.12,0,0,0,1,0,0
statsbomb_open_data,SB-1010,La Liga,2024-25,67,31,01:07:31,Sevilla,Real Madrid,P017,Youssef En-Nesyri,Morocco,ST,shot,fail,0.11,0,0,0,0,0,-1
statsbomb_open_data,SB-1011,Ligue 1,2024-25,13,39,00:13:39,PSG,Marseille,P018,Kylian Mbappe,France,ST,dribble,success,0,0,0,1,0,0,0
statsbomb_open_data,SB-1011,Ligue 1,2024-25,36,58,00:36:58,PSG,Marseille,P018,Kylian Mbappe,France,ST,shot,success,0.24,0,0,0,1,1,0
statsbomb_open_data,SB-1011,Ligue 1,2024-25,73,15,01:13:15,PSG,Marseille,P018,Kylian Mbappe,France,ST,pass,success,0,1,1,0,0,0,1
statsbomb_open_data,SB-1011,Ligue 1,2024-25,22,16,00:22:16,PSG,Marseille,P019,Ousmane Dembele,France,RW,pass,success,0,1,1,0,0,0,0
statsbomb_open_data,SB-1011,Ligue 1,2024-25,61,44,01:01:44,PSG,Marseille,P019,Ousmane Dembele,France,RW,dribble,success,0,0,0,1,0,0,1
statsbomb_open_data,SB-1011,Ligue 1,2024-25,85,32,01:25:32,PSG,Marseille,P019,Ousmane Dembele,France,RW,shot,fail,0.1,0,0,0,0,0,1
statsbomb_open_data,SB-1012,Premier League,2024-25,16,27,00:16:27,Manchester City,Chelsea,P002,Erling Haaland,Norway,ST,shot,success,0.34,0,0,0,1,1,0
statsbomb_open_data,SB-1012,Premier League,2024-25,48,18,00:48:18,Manchester City,Chelsea,P007,Rodri,Spain,CDM,pass,success,0,1,1,0,0,0,1
statsbomb_open_data,SB-1012,Premier League,2024-25,71,6,01:11:06,Chelsea,Manchester City,P020,Cole Palmer,England,CAM,shot,success,0.2,0,0,0,1,0,-1
